Time,Voltage_simulation,Current_simulation,Voltage_data,Current_data,SOC_data
0.0,3.190743835939993,0.0,3.187,0.0,0.0347
60.0,3.194271327567762,-16.76092702,3.208472409,-16.76092702,0.035168062
120.0,3.194611607198083,-16.73889858,3.219361646,-16.73889858,0.036103571
180.0,3.1949410667502423,-16.6503165,3.225161627,-16.6503165,0.037035991
240.0,3.1952880230858427,-16.63618141,3.229116806,-16.63618141,0.037965543
300.0,3.1956619212695294,-16.73405355,3.232113103,-16.73405355,0.038897433
360.0,3.1960263333385663,-16.75876008,3.235072814,-16.75876008,0.039832746
420.0,3.196412994877709,-16.86838635,3.237070445,-16.86838635,0.04077181
480.0,3.196775434230642,-16.83236524,3.239033974,-16.83236524,0.04171293
540.0,3.19712906428136,-16.73866167,3.240032727,-16.73866167,0.042650427
600.0,3.197496286491646,-16.7,3.241,-16.7,0.043584228
660.0,3.1979225844557733,-16.9281814,3.243015132,-16.9281814,0.044523321
720.0,3.1982937015057247,-16.84897981,3.243514541,-16.84897981,0.045466575
780.0,3.1986526503466317,-16.7,3.2440558,-16.7,0.046403457
840.0,3.1990489983767634,-16.72569412,3.246160199,-16.72569412,0.047336895
900.0,3.199458964952047,-16.79357451,3.252152675,-16.79357451,0.048272947
960.0,3.2095941528767775,-63.54097174,3.267735132,-63.54097174,0.050516353
1020.0,3.2206513395492338,-110.1074822,3.289274448,-110.1074822,0.055365622
1080.0,3.2289067999265857,-137.3033571,3.301043179,-137.3033571,0.062274764
1140.0,3.232725969283902,-137.5376958,3.303,-137.5376958,0.069949916
1200.0,3.2366952396635473,-137.3,3.303,-137.3,0.077624974
1260.0,3.2408029521748216,-136.8775622,3.308017744,-136.8775622,0.085281597
1320.0,3.245093826244972,-136.8799611,3.30906598,-136.8799611,0.092926491
1380.0,3.249323392433896,-136.3963889,3.313045539,-136.3963889,0.100557947
1440.0,3.2534404744737118,-135.6440399,3.316046164,-135.6440399,0.10815489
1500.0,3.2575261939206954,-135.468999,3.319375318,-135.468999,0.115725934
1560.0,3.261473656849884,-135.5808106,3.323060087,-135.5808106,0.123295213
1620.0,3.2650503671778432,-135.0035644,3.327049938,-135.0035644,0.130851494
1680.0,3.2684769113647127,-135.1870846,3.332017513,-135.1870846,0.138396779
1740.0,3.2714844374868157,-134.7356187,3.334,-134.7356187,0.145934583
1800.0,3.274136993783789,-134.10001,3.334,-134.10001,0.153442028
1860.0,3.275260208438234,-126.8857807,3.340015103,-126.8857807,0.160730261
1920.0,3.277313032145216,-126.8461771,3.342012243,-126.8461771,0.167815925
1980.0,3.279003859769816,-126.1840059,3.344998308,-126.1840059,0.174881992
2040.0,3.2808172914034532,-127.4996231,3.348004336,-127.4996231,0.181966306
2100.0,3.2821142104680416,-127.0249027,3.35068629,-127.0249027,0.189074103
2160.0,3.283336511601737,-127.2,3.352998369,-127.2,0.196173533
2220.0,3.2841436933936095,-125.9578385,3.354995639,-125.9578385,0.203243164
2280.0,3.285050229709511,-126.1282443,3.357989514,-126.1282443,0.210282866
2340.0,3.285855169301897,-126.4184274,3.359990446,-126.4184274,0.21733543
2400.0,3.28644806611381,-126.1,3.36,-126.1,0.224387205
2460.0,3.287124873309733,-126.791821,3.363986256,-126.791821,0.231449407
2520.0,3.2875185524960187,-126.294319,3.365983288,-126.294319,0.238517036
2580.0,3.2880855104292803,-127.182389,3.366990428,-127.182389,0.245595572
2640.0,3.288327277005867,-126.5055718,3.36897836,-126.5055718,0.252680007
2700.0,3.288731138002886,-127.0451895,3.371658544,-127.0451895,0.259760611
2760.0,3.2902710395634696,-134.4005689,3.373973787,-134.4005689,0.267061689
2820.0,3.2906545763563027,-135.1740298,3.374985285,-135.1740298,0.274589771
2880.0,3.2908697376366542,-135.1335277,3.375,-135.1335277,0.282138322
2940.0,3.291194706605261,-135.8757977,3.375,-135.8757977,0.28970647
3000.0,3.291326598723401,-135.60001,3.375,-135.60001,0.297287645
3060.0,3.2915136504634037,-135.7390301,3.37584194,-135.7390301,0.304865
3120.0,3.291510864561517,-134.8385372,3.375025046,-134.8385372,0.312421091
3180.0,3.2919664273115825,-136.6740264,3.375,-136.6740264,0.320003293
3240.0,3.2920172588856285,-136.1712127,3.375,-136.1712127,0.32762271
3300.0,3.2921400446056612,-136.1150219,3.375,-136.1150219,0.335226517
3360.0,3.292182943995917,-135.6021331,3.375,-135.6021331,0.342814431
3420.0,3.292533743785677,-136.8824101,3.375,-136.8824101,0.350423776
3480.0,3.2925963961571454,-136.4516035,3.375,-136.4516035,0.358056843
3540.0,3.2926470915656183,-135.9105942,3.375,-135.9105942,0.365662771
3600.0,3.292834987957762,-136.10001,3.375,-136.10001,0.37325888
3660.0,3.2930420647942107,-136.2900365,3.375181508,-136.2900365,0.380865586
3720.0,3.293257770314459,-136.3657727,3.375363016,-136.3657727,0.388479713
3780.0,3.2934620587595775,-136.136191,3.375544524,-136.136191,0.396089544
3840.0,3.2937994902243335,-136.3303502,3.375726032,-136.3303502,0.403698386
3900.0,3.2941652038655347,-136.1838521,3.37590754,-136.1838521,0.411308559
3960.0,3.294683189925631,-136.1956224,3.376,-136.1956224,0.41891497
4020.0,3.2953840066187343,-136.2370442,3.376,-136.2370442,0.426522865
4080.0,3.296330814799195,-136.2683852,3.376,-136.2683852,0.434132793
4140.0,3.297589112937435,-136.163035,3.376,-136.163035,0.441740654
4200.0,3.2992546153633553,-135.89999,3.376,-135.89999,0.449338228
4260.0,3.3015236102841263,-136.0289735,3.377916964,-136.0289735,0.456932057
4320.0,3.3043692024802946,-136.0011662,3.378159251,-136.0011662,0.464528712
4380.0,3.307837986265548,-136.1077794,3.378325713,-136.1077794,0.472127568
4440.0,3.311679596856105,-135.6322957,3.378492175,-135.6322957,0.479716123
4500.0,3.315912299338755,-135.9460703,3.378658637,-135.9460703,0.487300162
4560.0,3.320032550926785,-135.8807649,3.378825099,-135.8807649,0.49489114
4620.0,3.3237975653684324,-135.6975704,3.37899156,-135.6975704,0.502475178
4680.0,3.3269531665926175,-135.0945673,3.379,-135.0945673,0.51003726
4740.0,3.329463339433128,-134.2867545,3.379,-134.2867545,0.517559945
4800.0,3.3317927902528375,-135.60001,3.379,-135.60001,0.525096745
