Solution,RMSE,C1,C2
"[0.41978687 0.32641801 0.12144807 0.35355606 0.31450232 0.76568742
 0.54443505 0.88995608 0.18342946 0.00579675 0.72023821 0.34320227
 0.18309533 0.44181793 0.9754223  0.53345902 0.57372705 0.30960028
 0.87365631 0.11179295 0.94286348 0.67360267 0.78114934 0.112657
 0.33829215 0.23407311]",0.03129149590609664,0.0007996766988292228,-0.007834401173678333
"[0.74018831 0.0252351  0.37487015 0.63344682 0.11567387 0.83811924
 0.60660157 0.88995608 0.17934178 0.00579675 0.92442933 0.05186755
 0.07496471 0.44722538 0.56741245 0.47804501 0.92776158 0.29358112
 0.82525039 0.28075177 0.85911384 0.90091581 0.75837698 0.39247744
 0.4358258  0.1196901 ]",0.03155923650729016,-0.0006329523794395969,-0.0008393960806732902
"[0.764374   0.08223286 0.67752361 0.58512069 0.31450232 0.75203958
 0.54443505 0.72910888 0.18342946 0.00579675 0.92442933 0.21563057
 0.0067516  0.42258294 0.82200411 0.60809753 0.46624734 0.21164335
 0.99164801 0.02531152 0.76613836 0.94946502 0.77846312 0.25300103
 0.26818965 0.11785911]",0.034196916028970493,-0.008412656530890303,0.001244192972845705
"[0.86302684 0.23521806 0.37344022 0.43896907 0.28309092 0.86851041
 0.66656807 0.68995748 0.09122135 0.00579675 0.88274817 0.0451681
 0.18443608 0.50634034 0.67245674 0.51081865 0.9088167  0.03729161
 0.95605944 0.11179295 0.94286348 0.88899602 0.8581004  0.27311592
 0.35378442 0.04030666]",0.0598422617252943,0.016865726798403518,0.014997704148435171
"[0.54860635 0.26175623 0.42499605 0.29471358 0.66713833 0.95115794
 0.54443505 0.88995608 0.02352744 0.00579675 0.92442933 0.22002251
 0.18309533 0.79944332 0.98048898 0.86538932 0.43278256 0.09759564
 0.87365631 0.21442971 0.94286348 0.90091581 0.52520099 0.57330295
 0.47347281 0.16973093]",0.06426192988329976,0.02453583209041842,0.023315680992881397
"[0.6298595  0.16939168 0.37487015 0.44811558 0.31450232 0.76884296
 0.45961032 0.88995608 0.18342946 0.00579675 0.86938464 0.31994647
 0.56438366 0.06615053 0.60180208 0.52445681 0.96724151 0.23644446
 0.93180158 0.35874644 0.55670281 0.83514114 0.91693153 0.55549422
 0.17840302 0.3420959 ]",0.07475313016561166,0.01857561235426856,-0.010210194197832983
"[0.764374   0.43738853 0.37487015 0.58512069 0.42432191 0.46004966
 0.48063719 0.9949286  0.34294788 0.01178653 0.92442933 0.02768925
 0.12534229 0.16830413 0.96557529 0.10841429 0.67652263 0.48046709
 0.98796016 0.4168745  0.79691585 0.66586361 0.71854807 0.56655219
 0.56567185 0.42400162]",0.08893160519041994,0.02714922810150049,0.021560004489898598
"[0.5724591  0.24736669 0.61740819 0.84191257 0.53750457 0.41522301
 0.32725804 0.6876295  0.12485191 0.32032264 0.55484931 0.18382519
 0.27615574 0.67935493 0.78041499 0.62272093 0.9979931  0.13608867
 0.61752455 0.11179295 0.83356145 0.90091581 0.54703615 0.09717724
 0.15008581 0.10199988]",0.09139183027935448,0.02632572365483504,0.022052266430955782
"[0.764374   0.26562694 0.05233791 0.58512069 0.31450232 0.73542915
 0.50289674 0.92993938 0.17613358 0.00579675 0.91773377 0.04128608
 0.01345403 0.13303984 0.67245674 0.75918467 0.54894315 0.09759564
 0.96556689 0.24022475 0.94286348 0.69757591 0.67888879 0.53482466
 0.83226474 0.2854719 ]",0.09344859645488918,0.050040654332501475,0.005065865120328805
"[0.74049248 0.08981721 0.37487015 0.27762671 0.68418979 0.49083919
 0.89990642 0.78793992 0.18342946 0.03764367 0.89525147 0.04732945
 0.18309533 0.18001331 0.67245674 0.19268551 0.81862913 0.09759564
 0.87365631 0.12328119 0.72955351 0.90091581 0.91400894 0.23201826
 0.36498323 0.10199988]",0.09356050939903847,0.03195872341679479,-0.007773971407871122
"[0.48218704 0.07519547 0.37487015 0.7472644  0.33422195 0.41332225
 0.75108001 0.89588474 0.53689689 0.08084761 0.88244179 0.17266366
 0.11176119 0.30378979 0.67245674 0.6316869  0.56370526 0.31281499
 0.73225944 0.11179295 0.90408074 0.7863819  0.65434589 0.58261908
 0.44403818 0.10199988]",0.09695098584837313,0.047382708164462384,-0.0033486515314048206
"[0.53454727 0.17190412 0.55197442 0.20993126 0.38787177 0.59492415
 0.54443505 0.9269284  0.54784865 0.24441341 0.85253601 0.07221994
 0.48652484 0.08874257 0.81131213 0.58222668 0.81376407 0.26201717
 0.87365631 0.01568927 0.91829887 0.50678169 0.51661267 0.60715454
 0.50927623 0.0590837 ]",0.09776321273410458,0.055225225885382576,0.03195014973138838
"[0.55797744 0.30318559 0.0442565  0.96414953 0.41014665 0.34041102
 0.35763939 0.88995608 0.48383446 0.37134769 0.92442933 0.58006632
 0.58052991 0.49910019 0.38221902 0.66055534 0.53761623 0.31750939
 0.78675506 0.11179295 0.74625044 0.5751558  0.96128876 0.21525639
 0.69568084 0.08316219]",0.09886821150946223,0.03939169241051141,0.0180158057476958
"[0.77478137 0.28022783 0.29374738 0.91231557 0.48179723 0.7990184
 0.18574605 0.66382671 0.03741159 0.00579675 0.70045332 0.3098923
 0.43489875 0.19659014 0.75779266 0.35711136 0.95535091 0.32116661
 0.87365631 0.47763685 0.98534779 0.90091581 0.73317097 0.39003674
 0.11432026 0.45723396]",0.10329821800506787,0.04990225657637129,0.0017688154345803717
"[0.764374   0.34661977 0.38395539 0.94977957 0.31450232 0.44356416
 0.54443505 0.77581163 0.31320616 0.35889267 0.93127867 0.23266511
 0.18309533 0.46177066 0.87918037 0.26199076 0.96428249 0.01394265
 0.4791958  0.11179295 0.61363989 0.68494628 0.90546412 0.04549145
 0.22763909 0.10199988]",0.10567888324841633,0.062409929712158085,-0.013861215794818412
"[0.41452352 0.07518802 0.57742421 0.76150581 0.15080818 0.97613353
 0.66627572 0.91794698 0.45604755 0.16522369 0.87927078 0.14310253
 0.18309533 0.67695191 0.53113287 0.75296857 0.98489891 0.09759564
 0.5757031  0.36267905 0.98362981 0.58043187 0.98648474 0.52215662
 0.34893959 0.01037837]",0.10605426055005436,0.06488176643089773,-0.007132641718396414
"[0.85008262 0.08602012 0.20266679 0.39674443 0.61628718 0.89547032
 0.31487882 0.88995608 0.51444382 0.38769178 0.65032197 0.21563057
 0.11630882 0.2172665  0.54912432 0.51427758 0.51556075 0.09759564
 0.94597726 0.06349    0.94286348 0.90091581 0.9249158  0.21459748
 0.20315307 0.49219843]",0.10671443905909245,0.05138218759667698,-0.005193984328022521
"[0.86865727 0.03475553 0.16165066 0.22083805 0.29806452 0.73309209
 0.45624163 0.67443482 0.35542881 0.37362837 0.81012363 0.47712267
 0.07669937 0.26281042 0.67245674 0.47804501 0.7418001  0.33037505
 0.90482977 0.13047323 0.94286348 0.5209342  0.82138258 0.48090561
 0.60011499 0.03574332]",0.1079177173332289,0.06567425903616134,-0.012313019974443498
"[0.90957262 0.42547787 0.61206439 0.20048001 0.31450232 0.92522503
 0.79167879 0.96076479 0.29913925 0.06022207 0.92442933 0.21563057
 0.16365185 0.75766962 0.67245674 0.47804501 0.93765577 0.18899398
 0.87365631 0.46570161 0.555128   0.90091581 0.69564218 0.23201826
 0.33489735 0.10199988]",0.11103183780132792,0.0681977978216311,-0.005876670673472088
