Ah,SOC,V,A,Wh,time
0.000389,100.00%,3.356049,-140.1409,-0.001305,0
0.389087,99.86%,3.318832,-140.0721,-1.297028,10
0.778175,99.72%,3.301421,-140.062,-2.584635,20
1.167264,99.59%,3.291152,-140.0744,-3.867023,30
1.556352,99.45%,3.284787,-140.0838,-5.146234,40
1.945441,99.31%,3.280847,-140.0724,-6.423479,50
2.334532,99.17%,3.278524,-140.0701,-7.699531,60
2.723624,99.04%,3.277277,-140.0767,-8.974904,70
3.112715,98.90%,3.276691,-140.0809,-10.24993,80
3.501808,98.76%,3.276449,-140.0861,-11.52481,90
3.890902,98.62%,3.276376,-140.0696,-12.79964,100
4.279996,98.48%,3.276411,-140.0742,-14.07447,110
4.669091,98.35%,3.276487,-140.0747,-15.34931,120
5.058184,98.21%,3.276608,-140.0939,-16.6242,130
5.447278,98.07%,3.276707,-140.0751,-17.89912,140
5.836373,97.93%,3.276809,-140.0657,-19.1741,150
6.225469,97.80%,3.276888,-140.0712,-20.4491,160
6.614564,97.66%,3.276958,-140.0726,-21.72414,170
7.00366,97.52%,3.277073,-140.0749,-22.99922,180
7.392756,97.38%,3.277152,-140.0717,-24.27433,190
7.781854,97.24%,3.277206,-140.0721,-25.54947,200
8.170954,97.11%,3.277254,-140.0724,-26.82463,210
8.560054,96.97%,3.277308,-140.0818,-28.09983,220
8.949154,96.83%,3.277378,-140.0756,-29.37504,230
9.338254,96.69%,3.277407,-140.0719,-30.65027,240
9.727355,96.55%,3.277455,-140.0737,-31.92552,250
10.11646,96.42%,3.277493,-140.0724,-33.20078,260
10.50555,96.28%,3.27748,-140.0728,-34.47605,270
10.89465,96.14%,3.277509,-140.0795,-35.75133,280
11.28375,96.00%,3.277509,-140.0701,-37.02662,290
11.67286,95.87%,3.277528,-140.0708,-38.30191,300
12.06196,95.73%,3.277547,-140.0772,-39.57719,310
12.45106,95.59%,3.277502,-140.0682,-40.85249,320
12.84016,95.45%,3.277521,-140.0708,-42.12778,330
13.22926,95.31%,3.277525,-140.0811,-43.40307,340
13.61836,95.18%,3.277541,-140.0749,-44.67836,350
14.00746,95.04%,3.277515,-140.0801,-45.95365,360
14.39656,94.90%,3.277502,-140.0698,-47.22894,370
14.78567,94.76%,3.277512,-140.074,-48.50423,380
15.17477,94.63%,3.27749,-140.0813,-49.7795,390
15.56387,94.49%,3.277496,-140.0678,-51.05478,400
15.95297,94.35%,3.277467,-140.0744,-52.33005,410
16.34208,94.21%,3.277461,-140.0799,-53.60531,420
16.73118,94.07%,3.277439,-140.0758,-54.88057,430
17.12028,93.94%,3.277407,-140.0701,-56.15581,440
17.50938,93.80%,3.277404,-140.0762,-57.43105,450
17.89848,93.66%,3.277343,-140.0841,-58.70627,460
18.28758,93.52%,3.277321,-140.0834,-59.98148,470
18.67668,93.39%,3.277315,-140.0735,-61.25668,480
19.06577,93.25%,3.277292,-140.0696,-62.53187,490
19.45487,93.11%,3.277257,-140.0749,-63.80704,500
19.84397,92.97%,3.277213,-140.0683,-65.08221,510
20.23307,92.83%,3.277181,-140.0781,-66.35738,520
20.62217,92.70%,3.277149,-140.0733,-67.63252,530
21.01127,92.56%,3.277124,-140.0717,-68.90765,540
21.40037,92.42%,3.277111,-140.0671,-70.18278,550
21.78947,92.28%,3.277063,-140.0868,-71.45789,560
22.17857,92.14%,3.277031,-140.0737,-72.73298,570
22.56767,92.01%,3.27698,-140.0772,-74.00806,580
22.95677,91.87%,3.276936,-140.0815,-75.28313,590
23.34587,91.73%,3.276917,-140.0795,-76.55818,600
23.73497,91.59%,3.276866,-140.0678,-77.83322,610
24.12407,91.46%,3.276818,-140.0758,-79.10824,620
24.51317,91.32%,3.276764,-140.0802,-80.38326,630
24.90227,91.18%,3.276735,-140.0788,-81.65824,640
25.29137,91.04%,3.276691,-140.074,-82.93321,650
25.68046,90.90%,3.276691,-140.0705,-84.20817,660
26.06956,90.77%,3.276637,-140.0645,-85.48311,670
26.45866,90.63%,3.276586,-140.0703,-86.75803,680
26.84776,90.49%,3.276544,-140.076,-88.03294,690
27.23686,90.35%,3.276503,-140.0717,-89.30782,700
27.62596,90.22%,3.276443,-140.0643,-90.5827,710
28.01505,90.08%,3.276404,-140.0825,-91.85755,720
28.40415,89.94%,3.276328,-140.0818,-93.13239,730
28.79326,89.80%,3.276293,-140.077,-94.40721,740
29.18236,89.66%,3.276255,-140.0831,-95.68201,750
29.57146,89.53%,3.276207,-140.0726,-96.95679,760
29.96055,89.39%,3.276185,-140.0742,-98.23156,770
30.34966,89.25%,3.276105,-140.0692,-99.50631,780
30.73876,89.11%,3.276048,-140.0715,-100.781,790
31.12786,88.98%,3.276026,-140.0758,-102.0557,800
31.51696,88.84%,3.275965,-140.0756,-103.3304,810
31.90606,88.70%,3.27594,-140.0793,-104.6051,820
32.29515,88.56%,3.275876,-140.0749,-105.8797,830
32.68425,88.42%,3.275797,-140.0696,-107.1544,840
33.07335,88.29%,3.275762,-140.0829,-108.429,850
33.46245,88.15%,3.275698,-140.0708,-109.7036,860
33.85155,88.01%,3.27565,-140.0662,-110.9781,870
34.24065,87.87%,3.275606,-140.0735,-112.2527,880
34.62975,87.73%,3.275536,-140.0845,-113.5272,890
35.01886,87.60%,3.275504,-140.0868,-114.8017,900
35.40795,87.46%,3.275446,-140.0831,-116.0762,910
35.79705,87.32%,3.275389,-140.079,-117.3507,920
36.18615,87.18%,3.275338,-140.0783,-118.6251,930
36.57525,87.05%,3.27529,-140.0783,-119.8995,940
36.96434,86.91%,3.275202,-140.0836,-121.1739,950
37.35344,86.77%,3.27516,-140.0811,-122.4483,960
37.74254,86.63%,3.275119,-140.0733,-123.7226,970
38.13163,86.49%,3.275087,-140.0774,-124.997,980
38.52073,86.36%,3.274982,-140.0641,-126.2713,990
38.90982,86.22%,3.274918,-140.0751,-127.5455,1000
39.29892,86.08%,3.274839,-140.0763,-128.8198,1010
39.68802,85.94%,3.274794,-140.0678,-130.094,1020
40.07712,85.81%,3.274756,-140.0818,-131.3682,1030
40.46621,85.67%,3.274676,-140.0735,-132.6424,1040
40.85531,85.53%,3.2746,-140.0749,-133.9165,1050
41.24441,85.39%,3.274537,-140.0825,-135.1907,1060
41.63351,85.25%,3.274486,-140.0749,-136.4648,1070
42.02261,85.12%,3.274428,-140.0648,-137.7389,1080
42.41171,84.98%,3.274361,-140.0698,-139.0129,1090
42.8008,84.84%,3.274301,-140.0717,-140.2869,1100
43.1899,84.70%,3.274234,-140.0859,-141.561,1110
43.579,84.57%,3.274167,-140.0829,-142.8349,1120
43.9681,84.43%,3.274094,-140.0708,-144.1089,1130
44.3572,84.29%,3.274018,-140.0703,-145.3828,1140
44.7463,84.15%,3.273957,-140.0671,-146.6567,1150
45.1354,84.01%,3.273884,-140.0666,-147.9306,1160
45.52449,83.88%,3.27383,-140.0724,-149.2045,1170
45.91359,83.74%,3.273767,-140.063,-150.4783,1180
46.30268,83.60%,3.273677,-140.0861,-151.7521,1190
46.69178,83.46%,3.273588,-140.0836,-153.0258,1200
47.08088,83.32%,3.273518,-140.0756,-154.2996,1210
47.46998,83.19%,3.273426,-140.073,-155.5733,1220
47.85907,83.05%,3.273384,-140.0685,-156.8469,1230
48.24817,82.91%,3.273311,-140.0788,-158.1206,1240
48.63726,82.77%,3.273216,-140.0804,-159.3942,1250
49.02636,82.64%,3.273155,-140.0829,-160.6678,1260
49.41545,82.50%,3.273076,-140.0854,-161.9413,1270
49.80454,82.36%,3.273012,-140.0721,-163.2148,1280
50.19364,82.22%,3.272904,-140.0717,-164.4883,1290
50.58273,82.08%,3.272834,-140.068,-165.7618,1300
50.97183,81.95%,3.272764,-140.068,-167.0352,1310
