Ah,SOC,V,A,Wh,time
42.41103,84.04%,2.943017,-140.0669,-122.3171,1090
42.80013,83.90%,2.943752,-140.0774,-123.4624,1100
43.18922,83.75%,2.94448,-140.0804,-124.6079,1110
43.57831,83.61%,2.945178,-140.0696,-125.7537,1120
43.9674,83.46%,2.945871,-140.0572,-126.8998,1130
44.3565,83.31%,2.946549,-140.079,-128.0461,1140
44.74559,83.17%,2.94724,-140.0699,-129.1927,1150
45.13469,83.02%,2.947911,-140.0832,-130.3396,1160
45.52378,82.87%,2.948551,-140.0735,-131.4868,1170
45.91288,82.73%,2.949222,-140.0845,-132.6342,1180
46.30197,82.58%,2.949868,-140.066,-133.7818,1190
46.69107,82.43%,2.950476,-140.0763,-134.9297,1200
47.08016,82.29%,2.951103,-140.0667,-136.0779,1210
47.46926,82.14%,2.951682,-140.0779,-137.2262,1220
47.85835,82.00%,2.952242,-140.0832,-138.3748,1230
48.24744,81.85%,2.952821,-140.0822,-139.5237,1240
48.63654,81.70%,2.953388,-140.0742,-140.6727,1250
49.02563,81.56%,2.953955,-140.0758,-141.8219,1260
49.41473,81.41%,2.954489,-140.0747,-142.9714,1270
49.80382,81.26%,2.955033,-140.0815,-144.1211,1280
50.19292,81.12%,2.955568,-140.0742,-145.271,1290
50.58201,80.97%,2.956087,-140.0634,-146.4211,1300
50.9711,80.82%,2.956593,-140.0747,-147.5714,1310
51.3602,80.68%,2.957096,-140.0692,-148.7218,1320
51.74929,80.53%,2.957554,-140.0811,-149.8725,1330
52.13839,80.39%,2.958044,-140.0671,-151.0234,1340
52.52748,80.24%,2.958489,-140.0733,-152.1745,1350
52.91658,80.09%,2.958951,-140.079,-153.3257,1360
53.30567,79.95%,2.959396,-140.0818,-154.4771,1370
53.69477,79.80%,2.959839,-140.076,-155.6286,1380
54.08386,79.65%,2.960237,-140.0671,-156.7804,1390
54.47295,79.51%,2.960689,-140.076,-157.9323,1400
54.86205,79.36%,2.96107,-140.0662,-159.0843,1410
55.25114,79.21%,2.961484,-140.0657,-160.2365,1420
55.64024,79.07%,2.961853,-140.0818,-161.3889,1430
56.02933,78.92%,2.962216,-140.0744,-162.5414,1440
56.41842,78.78%,2.962566,-140.0831,-163.6941,1450
56.80751,78.63%,2.962977,-140.0689,-164.8468,1460
57.19661,78.48%,2.963307,-140.0696,-165.9998,1470
57.5857,78.34%,2.963632,-140.0774,-167.1529,1480
57.9748,78.19%,2.963982,-140.0811,-168.3061,1490
58.36389,78.04%,2.964278,-140.0744,-169.4594,1500
58.75298,77.90%,2.96459,-140.0765,-170.6128,1510
59.14208,77.75%,2.964918,-140.0643,-171.7664,1520
59.53117,77.60%,2.965185,-140.0685,-172.9201,1530
59.92027,77.46%,2.965497,-140.0827,-174.0739,1540
60.30936,77.31%,2.965764,-140.0721,-175.2278,1550
60.69846,77.17%,2.966022,-140.0806,-176.3818,1560
61.08755,77.02%,2.96627,-140.0676,-177.5359,1570
61.47665,76.87%,2.966531,-140.0602,-178.6901,1580
61.86575,76.73%,2.96676,-140.0737,-179.8445,1590
62.25484,76.58%,2.966977,-140.0744,-180.9988,1600
62.64394,76.43%,2.967216,-140.0712,-182.1533,1610
63.03303,76.29%,2.967422,-140.0664,-183.3079,1620
63.42213,76.14%,2.967636,-140.079,-184.4626,1630
63.81122,75.99%,2.967817,-140.0793,-185.6173,1640
64.20032,75.85%,2.967989,-140.0868,-186.7721,1650
64.58942,75.70%,2.968158,-140.0804,-187.927,1660
64.97851,75.56%,2.968345,-140.0719,-189.0819,1670
65.36761,75.41%,2.968514,-140.065,-190.2369,1680
65.7567,75.26%,2.968648,-140.0763,-191.392,1690
66.1458,75.12%,2.968807,-140.0676,-192.5471,1700
66.53489,74.97%,2.968909,-140.0676,-193.7022,1710
66.92398,74.82%,2.969033,-140.0653,-194.8574,1720
67.31308,74.68%,2.969141,-140.0705,-196.0127,1730
67.70217,74.53%,2.969205,-140.0696,-197.168,1740
68.09127,74.38%,2.969294,-140.065,-198.3233,1750
68.48037,74.24%,2.969392,-140.0841,-199.4787,1760
68.86946,74.09%,2.969462,-140.074,-200.6341,1770
69.25856,73.94%,2.969501,-140.0763,-201.7895,1780
69.64765,73.80%,2.969574,-140.0829,-202.9449,1790
70.03675,73.65%,2.969606,-140.0793,-204.1004,1800
70.42584,73.51%,2.969634,-140.0719,-205.2558,1810
70.81494,73.36%,2.969692,-140.0705,-206.4113,1820
71.20404,73.21%,2.969688,-140.0733,-207.5668,1830
71.59314,73.07%,2.969695,-140.0655,-208.7223,1840
71.98223,72.92%,2.969685,-140.0701,-209.8778,1850
72.37133,72.77%,2.969676,-140.0694,-211.0333,1860
72.76042,72.63%,2.969663,-140.0863,-212.1888,1870
